lead_id,age,income,lead_source,website_visits,time_spent_on_site,pages_viewed,email_opened,previous_interaction,lead_score,industry,follow_up_calls,converted
193,61,129945,Referral,3,1.62,2,0,0,93,Finance,3,0
194,41,75176,Email,8,2.83,6,1,0,57,Finance,0,0
195,32,139797,Paid Ad,15,19.65,11,0,1,26,Tech,1,1
196,49,106066,Email,7,0.35,11,0,1,25,Retail,2,0
197,49,125500,Organic,6,3.66,1,0,1,6,Finance,0,1
198,41,146413,Referral,9,0.99,3,1,1,41,Education,4,0
199,58,64327,Paid Ad,1,17.65,2,1,0,46,Education,4,1
200,29,88904,Social Media,8,0.6,3,0,0,52,Retail,2,0
201,56,23797,Paid Ad,3,2.58,5,1,0,58,Finance,3,1
202,19,67882,Social Media,4,6.69,11,0,1,37,Education,3,0
203,20,33718,Paid Ad,15,6.1,10,1,0,68,Finance,0,1
204,54,54560,Email,6,2.75,6,1,1,86,Finance,3,1
205,34,96589,Email,15,2.13,9,0,1,91,Education,2,1
206,19,42116,Email,3,2.53,12,0,1,97,Tech,0,1
207,19,56244,Organic,14,1.53,11,0,1,52,Education,1,0
208,45,121721,Social Media,14,1.15,10,0,1,14,Retail,3,0
209,40,21645,Email,4,3.3,12,0,0,95,Healthcare,3,1
210,54,67523,Organic,12,1.56,12,1,1,25,Education,0,1
211,49,144085,Social Media,17,1.69,13,1,1,47,Finance,4,1
212,50,137718,Paid Ad,7,5.35,4,0,0,94,Finance,3,1
213,18,39256,Organic,9,17.29,7,0,1,18,Education,2,1
214,36,121376,Referral,3,4.63,6,0,1,8,Healthcare,3,0
215,19,120158,Organic,13,0.4,2,1,0,63,Education,1,1
216,61,73173,Organic,15,0.39,10,0,0,92,Healthcare,3,1
217,43,57430,Social Media,18,15.12,11,0,0,53,Healthcare,4,0
218,49,59282,Paid Ad,19,1.76,11,1,1,50,Retail,3,1
219,23,139719,Referral,1,0.48,11,1,0,38,Finance,0,0
220,49,83374,Email,6,4.57,8,1,0,3,Finance,3,0
221,21,88244,Email,2,4.89,7,1,0,2,Healthcare,4,0
222,28,31694,Organic,14,5.23,7,0,1,63,Finance,0,1
223,34,76264,Social Media,6,1.56,14,1,0,28,Tech,2,0
224,55,95060,Social Media,14,0.08,8,1,1,10,Healthcare,0,0
225,41,117416,Email,4,16.76,12,0,1,96,Finance,1,1
226,22,77545,Referral,8,1.44,12,0,0,57,Tech,0,0
227,51,138195,Paid Ad,3,5.64,13,0,1,74,Retail,2,1
228,23,59224,Referral,19,6.13,14,1,1,26,Finance,3,1
229,39,122516,Paid Ad,14,4.71,11,0,0,96,Tech,0,1
230,28,117945,Email,17,1.88,1,1,1,20,Education,0,0
231,33,33224,Paid Ad,8,1.58,13,1,0,38,Education,0,1
232,50,60738,Social Media,14,4.55,1,1,1,94,Tech,0,1
233,26,45150,Organic,6,10.05,8,0,1,45,Healthcare,2,1
234,23,83731,Organic,16,14.66,4,1,0,65,Healthcare,4,1
235,33,69688,Email,19,0.56,5,0,0,90,Finance,4,0
236,46,119929,Social Media,14,0.84,8,0,1,35,Education,0,0
237,20,128618,Referral,19,14.48,5,0,1,74,Healthcare,2,0
238,37,93509,Social Media,3,6.67,10,1,0,81,Healthcare,2,1
239,53,28577,Organic,10,10.73,4,1,1,64,Education,0,1
240,36,28070,Organic,19,1.13,12,1,1,62,Retail,1,0
241,43,146161,Social Media,9,4.43,6,0,1,98,Healthcare,0,1
242,20,28666,Social Media,13,6.04,13,1,1,34,Tech,1,1
243,36,77761,Organic,7,5.7,12,1,0,30,Finance,0,0
244,37,141178,Referral,14,2.62,5,1,0,27,Healthcare,1,0
245,49,56368,Email,9,0.08,14,1,0,0,Healthcare,1,0
246,24,26783,Email,19,4.37,7,1,0,24,Retail,0,0
247,58,131530,Social Media,15,1.46,14,0,0,42,Tech,1,0
248,50,61914,Email,14,2.99,10,0,0,83,Finance,3,1
249,57,90507,Organic,6,15.8,7,0,1,66,Healthcare,4,1
250,56,147738,Organic,4,2.55,13,0,0,62,Finance,2,1
251,35,99026,Social Media,8,9.16,4,1,1,50,Education,1,0
252,57,135893,Social Media,17,1.04,12,0,1,1,Healthcare,1,0
253,18,131255,Social Media,9,5.58,13,1,1,81,Healthcare,2,1
254,28,130616,Referral,1,18.86,5,0,0,63,Education,1,1
255,45,87526,Email,14,0.54,13,0,1,73,Retail,2,1
256,42,90835,Social Media,11,0.04,3,0,0,68,Healthcare,0,1
257,40,65765,Paid Ad,3,2.84,4,1,1,8,Finance,3,0
258,48,39956,Paid Ad,9,0.49,14,1,1,1,Tech,3,1
259,47,107895,Organic,14,6.9,4,0,0,33,Finance,4,0
260,59,66240,Email,9,12.3,3,1,1,59,Retail,1,0
261,52,141008,Social Media,4,2.85,13,0,1,60,Tech,4,0
262,24,57148,Paid Ad,4,1.5,10,0,1,30,Finance,0,0
263,33,114270,Email,8,2.85,5,0,1,9,Finance,3,0
264,43,147978,Organic,2,6.43,5,1,0,75,Education,0,0
265,19,24757,Referral,9,0.05,11,0,1,35,Retail,0,0
266,18,39097,Email,14,4.45,7,0,1,84,Education,1,1
267,29,30395,Email,9,4.75,4,0,0,48,Tech,0,0
268,22,36241,Referral,16,5.08,13,1,1,69,Education,3,1
269,54,123892,Email,17,1.39,4,0,1,48,Retail,4,1
270,49,47696,Organic,16,6.26,9,1,1,2,Healthcare,3,1
271,26,135654,Organic,12,0.48,6,0,1,73,Healthcare,1,0
272,58,90480,Referral,3,1.11,4,1,0,4,Tech,3,1
273,52,66163,Social Media,11,10.5,2,0,1,89,Healthcare,2,1
274,36,39816,Paid Ad,14,6.71,6,0,0,60,Education,4,1
275,33,69840,Social Media,18,0.07,2,1,1,84,Tech,2,1
276,20,122547,Email,5,1.43,5,1,1,89,Retail,2,1
277,37,72853,Paid Ad,16,1.21,6,0,1,25,Tech,1,0
278,41,44917,Referral,5,1.58,4,1,0,71,Tech,0,1
279,50,116731,Referral,3,1.42,14,0,1,4,Finance,2,1
280,41,41566,Paid Ad,12,0.32,13,0,1,14,Finance,3,0
281,28,95452,Organic,1,3.07,3,0,0,15,Tech,0,0
282,25,82823,Paid Ad,9,6.6,7,1,0,0,Healthcare,3,0
283,53,141392,Email,9,4.67,2,0,0,15,Finance,3,1
284,55,40806,Organic,4,5.59,13,1,0,36,Retail,0,0
285,57,95520,Referral,3,0.42,11,0,1,2,Education,0,1
286,37,21759,Paid Ad,17,15.13,14,1,1,51,Finance,3,1
287,52,146092,Social Media,2,9.12,6,1,1,46,Tech,1,0
288,42,61949,Social Media,1,8.18,13,0,1,94,Healthcare,4,0
289,52,112374,Email,8,8.66,4,1,0,12,Education,4,1
290,42,22482,Social Media,13,13.49,6,0,1,79,Finance,1,1
291,46,44442,Paid Ad,15,3.93,4,0,1,54,Healthcare,0,0
292,35,53719,Paid Ad,8,1.12,4,0,1,20,Healthcare,3,1
293,63,78066,Social Media,12,4.8,4,0,1,65,Healthcare,4,1
294,35,113501,Paid Ad,12,6.79,9,0,0,53,Tech,3,0
295,19,22079,Email,14,6.7,7,1,1,26,Retail,1,0
296,52,22717,Organic,15,3.68,3,0,1,37,Healthcare,3,0
297,33,79676,Email,15,0.35,3,1,1,89,Education,1,0
298,58,47952,Email,9,2.32,6,1,0,57,Finance,0,0
299,53,106444,Paid Ad,19,12.68,6,0,0,61,Education,1,1
300,50,62460,Organic,8,4.39,4,1,1,45,Tech,1,1
301,21,110397,Paid Ad,19,3.86,9,0,1,88,Tech,4,1
302,50,92847,Referral,6,1.57,4,1,1,10,Education,3,0
303,31,113607,Paid Ad,19,2.3,9,1,0,71,Retail,4,0
304,38,109106,Paid Ad,4,11.29,4,1,1,7,Tech,2,0
305,37,38449,Paid Ad,7,5.49,2,0,1,96,Tech,1,0
306,25,53536,Organic,4,7.74,2,1,1,70,Education,2,0
307,24,84077,Paid Ad,12,3.03,5,0,0,63,Tech,4,0
308,20,58258,Organic,13,4.97,4,1,1,20,Retail,3,1
309,34,68302,Social Media,3,1.43,7,1,1,71,Retail,4,0
310,50,145937,Referral,12,6.11,14,1,0,62,Retail,3,1
311,29,48865,Organic,2,2.79,11,1,0,84,Finance,3,1
312,39,26645,Social Media,2,2.92,5,0,1,63,Retail,0,0
313,39,139771,Organic,9,5.24,6,0,0,19,Retail,1,0
314,63,58000,Organic,1,13.77,10,1,1,7,Finance,4,1
315,47,46737,Referral,8,0.33,4,1,0,57,Healthcare,3,1
316,55,31485,Email,6,8.71,13,0,0,45,Tech,4,0
317,55,58565,Email,6,1.73,12,0,1,30,Retail,4,0
318,62,45522,Organic,18,2.93,2,0,1,92,Tech,3,0
319,25,139614,Paid Ad,17,0.11,13,0,1,8,Education,2,1
320,44,85155,Social Media,12,1.79,10,1,0,14,Tech,1,1
321,44,75168,Paid Ad,6,3.49,9,1,1,93,Finance,1,1
322,51,72487,Paid Ad,8,0.29,10,0,1,25,Tech,0,1
323,38,149948,Organic,19,3.38,7,0,1,9,Tech,0,1
324,47,32342,Organic,10,13.09,4,0,1,28,Tech,0,0
325,50,60806,Organic,1,0.56,3,0,1,79,Healthcare,1,1
326,45,68770,Organic,13,7.23,10,0,0,35,Healthcare,2,1
327,64,98623,Email,17,2.64,14,0,1,83,Education,1,1
328,50,123177,Organic,3,5.32,3,1,1,36,Finance,1,1
329,22,119785,Email,8,1.51,9,1,0,85,Tech,1,0
330,36,95629,Email,14,0.87,5,1,1,70,Tech,1,1
331,21,140993,Organic,3,0.87,13,0,1,22,Tech,2,0
332,52,72603,Referral,16,0.37,3,0,1,40,Tech,0,0
333,34,146944,Social Media,13,1.03,5,0,1,92,Healthcare,4,1
334,61,132726,Paid Ad,17,5.46,2,1,1,79,Education,0,1
335,45,101974,Email,13,10.67,11,0,0,27,Retail,0,0
336,47,125947,Social Media,6,8.41,4,0,0,47,Finance,4,0
337,46,46399,Referral,17,5.78,10,1,0,37,Tech,1,1
338,63,148177,Paid Ad,14,0.59,2,0,1,30,Education,2,0
339,23,105382,Paid Ad,17,1.71,2,1,0,13,Retail,2,1
340,52,101244,Email,8,1.85,12,1,1,96,Education,0,1
341,58,129575,Organic,11,1.44,8,0,1,72,Healthcare,4,0
342,54,135520,Referral,1,3.62,1,1,1,90,Retail,3,1
343,41,130904,Email,7,3.83,14,0,0,87,Education,1,0
344,46,96534,Referral,17,2.21,7,1,0,76,Healthcare,0,0
345,63,75106,Organic,10,2.18,5,0,0,89,Education,2,0
346,48,132599,Organic,11,8.82,11,1,1,28,Education,4,1
347,52,50678,Email,9,7.79,8,0,0,50,Retail,4,1
348,50,96218,Organic,9,1.84,1,1,1,48,Healthcare,0,0
349,38,83230,Social Media,5,12.25,11,1,0,42,Tech,3,0
350,49,134684,Paid Ad,17,15.27,7,1,0,91,Finance,2,1
351,40,94055,Email,9,1.98,5,0,1,91,Retail,0,1
352,50,76373,Referral,17,2.19,4,0,1,71,Healthcare,3,0
353,20,51480,Social Media,19,3.52,7,1,0,86,Education,4,1
354,35,105230,Email,7,14.16,10,0,0,92,Healthcare,1,1
355,42,88836,Organic,9,10.45,2,1,0,4,Finance,2,1
356,59,92258,Organic,7,0.54,12,0,1,41,Finance,2,0
357,48,59986,Organic,13,2.49,1,1,1,6,Tech,3,1
358,20,44160,Organic,11,4.03,1,0,0,41,Tech,0,0
359,57,105595,Referral,14,3.5,11,1,0,35,Finance,4,1
360,63,121358,Social Media,19,1.08,12,1,1,26,Retail,3,0
361,41,99111,Paid Ad,11,9.79,1,1,0,57,Retail,1,0
362,49,84929,Referral,13,5.65,12,1,1,45,Education,1,1
363,64,93506,Referral,14,9.1,5,0,1,65,Tech,1,1
364,39,54911,Paid Ad,13,9.79,10,1,1,24,Education,3,1
365,40,107127,Paid Ad,1,6.9,7,0,1,72,Tech,4,1
366,19,51821,Organic,8,2.89,2,0,1,26,Finance,2,0
367,44,95039,Referral,12,4.72,10,1,1,0,Retail,0,1
368,59,80535,Email,19,0.87,8,0,0,86,Retail,2,0
369,19,133453,Paid Ad,12,5.6,4,0,1,73,Finance,4,1
370,43,104458,Paid Ad,8,0.99,12,0,1,41,Education,2,1
371,34,32175,Social Media,8,5.92,3,1,0,51,Education,3,1
372,57,139235,Email,13,1.3,10,0,1,24,Healthcare,1,0
373,50,74771,Email,12,0.63,11,0,0,53,Tech,4,0
374,26,126660,Paid Ad,16,0.9,8,1,1,66,Education,4,1
375,60,147157,Organic,1,0.01,2,1,0,5,Finance,2,1
376,56,141300,Social Media,13,6.34,11,0,0,57,Education,3,1
377,46,106925,Email,7,6.59,11,1,1,69,Retail,2,1
378,59,133374,Paid Ad,5,3.62,13,0,1,52,Tech,2,0
379,43,86358,Email,8,0.88,3,0,1,65,Healthcare,4,1
380,52,37327,Social Media,14,0.44,12,0,1,57,Tech,2,0
381,42,67057,Social Media,13,0.1,3,1,0,81,Retail,1,1
382,41,26150,Referral,15,0.91,10,0,0,86,Retail,2,0
383,30,24425,Paid Ad,17,11.08,11,1,0,1,Retail,1,0
384,24,143654,Social Media,15,1.38,1,1,1,75,Retail,4,1
385,53,36032,Referral,18,2.19,6,0,0,21,Finance,3,0
386,62,22198,Referral,18,0.56,2,1,1,36,Healthcare,1,1
387,37,80500,Email,2,1.26,1,1,1,19,Retail,3,0
388,18,73394,Email,4,3.66,2,1,0,23,Retail,3,0
389,25,40079,Referral,1,4.68,12,1,1,83,Education,1,1
390,63,56220,Email,4,1.41,6,1,0,64,Healthcare,4,1
391,33,61874,Social Media,18,0.3,14,0,1,64,Tech,0,0
392,31,33859,Organic,5,2.48,4,1,0,80,Healthcare,3,0
393,29,70460,Social Media,19,1.33,6,0,1,0,Healthcare,3,1
394,40,51419,Referral,15,1.24,12,0,0,93,Healthcare,4,0
395,32,138865,Referral,8,16.08,9,0,0,2,Retail,4,0
396,45,28705,Social Media,17,4.79,13,0,1,45,Retail,2,1
397,51,62880,Email,1,4.07,10,0,1,54,Finance,4,0
398,19,149838,Email,12,2.69,12,0,0,74,Tech,3,0
399,49,43236,Referral,19,2.8,10,1,1,87,Education,1,1
400,40,107955,Paid Ad,15,3.89,8,1,1,85,Healthcare,0,1
401,39,105514,Email,9,5.96,1,1,1,63,Tech,2,1
402,42,123145,Social Media,7,6.06,13,0,0,44,Tech,1,0
403,39,35358,Email,2,0.94,8,1,0,25,Finance,0,0
404,39,119713,Social Media,9,3.47,9,1,1,76,Education,0,0
405,59,114914,Referral,10,2.65,6,1,1,64,Healthcare,0,1
406,23,122870,Email,2,10.22,10,0,0,23,Education,1,0
407,32,96918,Social Media,19,4.99,5,1,1,73,Finance,2,1
408,60,139179,Referral,11,3.8,6,0,0,34,Retail,2,0
409,54,136243,Paid Ad,13,0.61,13,1,1,23,Tech,0,0
